name;modelo;link;price;km;ciudad
Kia Rio 1.25 5 P;2016;https://carro.mercadolibre.com.co/MCO-801379468-kia-rio-2016-125-5-p-_JM#position=15&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;41000000;65000;Cali
Kia Rio 1.4 Vibrant Hb 5 P;2020;https://carro.mercadolibre.com.co/MCO-801983839-kia-rio-2020-14-vibrant-hb-5-p-_JM#position=16&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;55000000;37000;Cali
Kia Rio 1.4 Vibrant Hb 5 P;2020;https://carro.mercadolibre.com.co/MCO-800900535-kia-rio-2020-14-vibrant-hb-5-p-_JM#position=17&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;55000000;37000;Cali
Kia Rio 1.4 Vibrant Hb 5 P;2020;https://carro.mercadolibre.com.co/MCO-657469178-kia-rio-vibrant-14-cc-mec-2020-cristhian-3173188601-_JM#position=18&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;56000000;17000;Brisas de los Alamos - Cali
Kia Rio 1.4 4 P;2013;https://carro.mercadolibre.com.co/MCO-652910928-kia-rio-2013-14-4-p-_JM#position=19&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;35000000;80000;Cali
Kia Rio 1.25 4 P;2016;https://carro.mercadolibre.com.co/MCO-804191110-kia-rio-2016-125-4-p-_JM#position=20&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;38500000;65000;Cali
Kia Rio 1.4;2021;https://carro.mercadolibre.com.co/MCO-655664053-kia-rio-14-soluto-mec-full-_JM#position=21&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;52000000;28000;El Limonar - Cali
Kia Rio 1.5 Stylus;2012;https://carro.mercadolibre.com.co/MCO-806328755-kia-rio-stylus-ls-2012-_JM#position=22&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;20000000;113000;Aranjuez - Cali
Kia Rio 1.4 4 P;2014;https://carro.mercadolibre.com.co/MCO-800722270-kia-rio-2014-14-4-p-_JM#position=23&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;36000000;86000;Cali
Kia Rio 1.4;2018;https://carro.mercadolibre.com.co/MCO-648722662-kia-rio-2018-14-_JM#position=24&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;48000000;55700;Cali
Kia Rio 1.25;2015;https://carro.mercadolibre.com.co/MCO-807335813-kia-rio-2015-125-_JM#position=25&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;35000000;150000;Cali
Kia Rio 1.4 Vibrant Hb 5 P;2021;https://carro.mercadolibre.com.co/MCO-805949832-kia-rio-2021-14-vibrant-hb-5-p-_JM#position=26&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;56000000;23500;Jamundí
Kia Rio 1.4 5 P;2013;https://carro.mercadolibre.com.co/MCO-657463628-full-kia-rio-ub-ex-de-lujo-2013-a-mi-nombre-_JM#position=27&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;33500000;99000;Corregimiento Mulaló - Yumbo
Kia Rio 1.4 Vibrant Hb 5 P;2019;https://carro.mercadolibre.com.co/MCO-658081331-kia-rio-2019-14-vibrant-hb-5-p-_JM#position=28&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;54000000;31000;Cali
Kia Rio 1.4;2018;https://carro.mercadolibre.com.co/MCO-808417723-kia-rio-2018-14-_JM#position=29&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;50000000;53100;Cali
Kia Rio 1.4 Vibrant Hb 5 P;2019;https://carro.mercadolibre.com.co/MCO-801699958-kia-rio-2019-14-vibrant-hb-5-p-_JM#position=30&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;51000000;25000;Yumbo
Kia Rio 1.4 Vibrant Hb 5 P;2019;https://carro.mercadolibre.com.co/MCO-803510628-kia-rio-2019-14-vibrant-hb-5-p-_JM#position=31&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;49500000;29830;Tuluá
Kia Rio 1.25;2015;https://carro.mercadolibre.com.co/MCO-800723243-kia-rio-2015-125-_JM#position=32&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;35000000;63800;Buga
Kia Rio 1.25 5 P;2017;https://carro.mercadolibre.com.co/MCO-800451204-kia-rio-2017-125-5-p-_JM#position=33&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;41500000;46000;Jamundí
Kia Stylus Bt Rio Stylus;2016;https://carro.mercadolibre.com.co/MCO-657780267-kia-stylus-bt-rio-stylus-_JM#position=34&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;27000000;75000;Cali
Kia Rio 1.4 5 P;2013;https://carro.mercadolibre.com.co/MCO-659011772-kia-rio-2013-14-5-p-_JM#position=35&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;32000000;135780;Cali
Kia Rio 1.5 Stylus;2010;https://carro.mercadolibre.com.co/MCO-803509293-kia-rio-stylus-ls-2010-_JM#position=36&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;17600000;119500;Bosques del Limonar - Cali
Kia Rio 1.5 Stylus 4 P;2009;https://carro.mercadolibre.com.co/MCO-802922236-kia-rio-2009-15-stylus-4-p-_JM#position=37&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;16400000;125000;Cali
Kia Rio 1.4 Vibrant Hb 5 P;2019;https://carro.mercadolibre.com.co/MCO-658111614-kia-rio-2019-14-vibrant-hb-5-p-_JM#position=38&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;52000000;35000;Cali
Kia Rio 1.4 4 P;2013;https://carro.mercadolibre.com.co/MCO-804057089-kia-rio-2013-14-4-p-_JM#position=39&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;35000000;45100;Cali
Kia Rio 1.4 5 P;2013;https://carro.mercadolibre.com.co/MCO-651889547-kia-rio-14-5-p-_JM#position=40&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;34500000;83800;Cali
Kia Rio 1.5 Stylus;2011;https://carro.mercadolibre.com.co/MCO-651971060-kia-rio-15-stylus-_JM#position=41&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;20000000;98600;Cali
Kia Rio Xcite Mt1400cc Hb;2011;https://carro.mercadolibre.com.co/MCO-654497611-kia-rio-xcite-hb-mt1400cc-_JM#position=42&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;24800000;75000;Valle Del Lili - Cali
Kia Rio Spice Mt 1450cc;2016;https://carro.mercadolibre.com.co/MCO-648395131-kia-rio-spice-mt-1450cc-_JM#position=43&search_layout=grid&type=item&tracking_id=8c64e0e9-fa34-45d4-a7d5-008dfa7a7232;39200000;52000;Valle Del Lili - Cali
