name;modelo;link;price;km;ciudad
Kia Rio Ub Ex Mt 1250cc;2015;https://carro.mercadolibre.com.co/MCO-607839230-kia-rio-ub-ex-mt-1250cc-_JM#position=11&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;33500000;115000;Cali
Kia Rio Vibrant Mt 1400cc;2020;https://carro.mercadolibre.com.co/MCO-605304445-kia-rio-vibrant-mt-1400cc-_JM#position=12&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;52500000;7000;Cali
Kia Rio R Mt 1250;2016;https://carro.mercadolibre.com.co/MCO-607546818-kia-rio-r-mt-1250-_JM#position=13&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;36800000;67000;Cali
Kia Rio 1.4;2018;https://carro.mercadolibre.com.co/MCO-609501324-kia-all-new-rio-2018-mecanico-sedan-_JM#position=14&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;45000000;42000;Cali
Kia Rio 1.2 4 P;2017;https://carro.mercadolibre.com.co/MCO-603099701-kia-rio-ub-ex-2017-motor-1248-_JM#position=15&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;39500000;44400;Cali
Kia Rio 1.4;2018;https://carro.mercadolibre.com.co/MCO-609268241-kia-rio-2018-14-_JM#position=16&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;43800000;52000;Cali
Kia Rio Kia Rio Vibrant Mt Hb. 2021  0 Km.;2021;https://carro.mercadolibre.com.co/MCO-551622525-kia-rio-vibrant-14l-mt-2021-hb-0-km-_JM#position=17&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;59790000;0;Cali
Kia Rio 1.4 4 P 95 Hp;2012;https://carro.mercadolibre.com.co/MCO-611244885-kia-rio-2012-14-4-p-95-hp-_JM#position=18&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;23000000;150000;Cali
Kia Rio 1.4;2019;https://carro.mercadolibre.com.co/MCO-610777245-kia-rio-all-new-vibrant-2019-14cc-hatchback-_JM#position=19&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;51300000;24000;Cali
Kia Rio 1.4 Sc Hb;2018;https://carro.mercadolibre.com.co/MCO-612388393-kia-rio-2018-14-sc-hb-_JM#position=20&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;53000000;17000;Cali
Kia Rio 1.25 5 P;2017;https://carro.mercadolibre.com.co/MCO-613147193-kia-rio-r-_JM#position=21&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;40500000;55575;Cali
Kia Rio Kia Rio Emotion Hb Mt 1.4 L 2021;2021;https://carro.mercadolibre.com.co/MCO-551478522-kia-rio-emotion-hb-mt-2021-0-km-_JM#position=22&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;56790000;0;Cali
Kia Rio Kia Rio Zenith;2021;https://carro.mercadolibre.com.co/MCO-551032527-kia-rio-zenith-sedan-at-14l-2021-0km-_JM#position=23&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;69890000;0;Cali
Kia Rio 1.4 4 P 109 Hp;2012;https://carro.mercadolibre.com.co/MCO-609727578-kia-rio-2012-sedan-14cc-mecanico-_JM#position=24&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;31300000;47000;Cali
Kia Rio 1.4 5 P;2013;https://carro.mercadolibre.com.co/MCO-612163207-kia-rio-2013-14-5-p-_JM#position=25&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;33500000;92400;Cali
Kia Rio Ub Ex Kia Rio Ub Ex;2016;https://carro.mercadolibre.com.co/MCO-609836168-kia-rio-ub-ex-13-_JM#position=26&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;36800000;80000;Cali
Kia Rio All New Rio Hb Emotion;2021;https://carro.mercadolibre.com.co/MCO-551032263-kia-rio-emotion-hb-2021-mt-0km-_JM#position=27&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;56790000;0;Cali
Kia Rio 1.4;2020;https://carro.mercadolibre.com.co/MCO-610034481-kia-rio-2020-14-_JM#position=28&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;53000000;14738;Palmira
Kia Rio Spice 1.250 Mecánico;2015;https://carro.mercadolibre.com.co/MCO-611642238-kia-rio-spice-1250-mecanico-_JM#position=29&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;36000000;65000;Cali
Kia Rio Kia Rio Emotion 1.4l Hb. Mt. 2021 0 Km.;2021;https://carro.mercadolibre.com.co/MCO-564944285-kia-rio-emotion-14l-hb-mt-2021-0-km-_JM#position=30&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;56790000;0;Cali
Kia Rio 1.2;2016;https://carro.mercadolibre.com.co/MCO-597561500-kia-rio-12-_JM#position=31&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;33800000;104000;Cali
Kia Rio 1.5 Stylus;2016;https://carro.mercadolibre.com.co/MCO-606562509-kia-rio-2016-15-stylus-_JM#position=32&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;22000000;48000;Cali
Kia Rio 1.4 4 P;2010;https://carro.mercadolibre.com.co/MCO-609026452-kia-rio-2010-14-4-p-_JM#position=33&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;22500000;145000;Cali
Kia Rio 1.25;2018;https://carro.mercadolibre.com.co/MCO-612336586-kia-rio-re-125-2018-_JM#position=34&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;40000000;45000;Cali
Kia Rio 1.25;2015;https://carro.mercadolibre.com.co/MCO-610668375-kia-rio-2015-125-_JM#position=35&type=item&tracking_id=3c0a7ea2-d8f7-439d-a3be-8454728358fa;31000000;82464;Buenaventura
